row_id,side,role,term,gold_snomed_id,gold_concept_term,pred_snomed_id,pred_concept_term,pred_score,taxonomy_hops,triage_bucket,triage_reason,suggested_action
t0_row_01,condition,Procedure,Percutaneous coronary revascularization,415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),713617008,Percutaneous transluminal revascularization of chronic total occlusion of coronary artery using fluoroscopic guidance with contrast (procedure),1.0,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_01,action,Procedure,Using decision making strategies,415806002,Using decision making strategies (finding),,,0.0,,obvious_tune,no_prediction_returned,tune_retrieval_or_rerank
t0_row_03,condition,Procedure,Treatment plan given,314705003,Treatment plan given (finding),55053003,Prescription of therapeutic regimen (procedure),0.7557142857142856,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_04,action,Procedure,Using decision making strategies,415806002,Using decision making strategies (finding),,,0.0,,obvious_tune,no_prediction_returned,tune_retrieval_or_rerank
t0_row_04,action,Procedure,Preferences,225773000,Preferences (qualifier value),223486007,Discussion about preferences (procedure),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_04,action,Procedure,Health literacy,870552008,Health literacy (observable entity),431531000124101,Health literacy assessment (procedure),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_04,action,Procedure,Requires culturally responsive service to support health literacy,1254714002,Requires culturally responsive service to support health literacy (finding),,,0.0,,obvious_tune,no_prediction_returned,tune_retrieval_or_rerank
t0_row_05,condition,ClinicalCondition,Specialist multidisciplinary team,408458006,Specialist multidisciplinary team (qualifier value),,,0.0,,obvious_tune,no_prediction_returned,tune_retrieval_or_rerank
t0_row_06,condition,ClinicalCondition,Stenosis of left coronary artery main stem,876857001,Stenosis of left coronary artery main stem (disorder),1255569006,Stenosis of ostium of left main coronary artery (disorder),0.9188136726080345,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_07,condition,ClinicalCondition,Triple vessel disease of the heart,233817007,Triple vessel disease of the heart (disorder),45414006,Glucocorticoid deficiency with achalasia (disorder),0.39141242937853105,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_08,condition,ClinicalCondition,Atherosclerosis of proximal portion of anterior descending branch of left coronary artery,1366501001,Atherosclerosis of proximal portion of anterior descending branch of left coronary artery (disorder),1366498001,Atherosclerosis of anterior descending branch of left coronary artery (disorder),1.0,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_09,action,Procedure,Decision making,247583006,Decision making (observable entity),133920001,Decision making encouragement (procedure),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_10,condition,ClinicalCondition,Multi vessel coronary artery disease,371803003,Multi vessel coronary artery disease (disorder),50570003,Aneurysm of coronary vessels (disorder),0.5542487046632123,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_11,condition,ClinicalCondition,High risk,723509005,High risk (qualifier value),455201601000132100,At high risk for fall (finding),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_11,condition,ClinicalCondition,Inoperable,74778001,Inoperable (qualifier value),,,-1.0,,obvious_tune,no_prediction_returned,tune_retrieval_or_rerank
t0_row_11,condition,ClinicalCondition,Multi vessel coronary artery disease,371803003,Multi vessel coronary artery disease (disorder),50570003,Aneurysm of coronary vessels (disorder),0.5542487046632123,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_11,action,Procedure,Percutaneous coronary revascularization,415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),713617008,Percutaneous transluminal revascularization of chronic total occlusion of coronary artery using fluoroscopic guidance with contrast (procedure),1.0,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_12,condition,ClinicalCondition,Medical therapy,243121000,Medical therapy (procedure),425914008,Adjustment reaction to medical therapy (disorder),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_13,condition,ClinicalCondition,Myocardial revascularization,275227003,Myocardial revascularization (procedure),57809008,Myocardial disease (disorder),0.8818918918918919,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_13,action,Procedure,Using decision making strategies,415806002,Using decision making strategies (finding),,,0.0,,obvious_tune,no_prediction_returned,tune_retrieval_or_rerank
t0_row_14,action,Procedure,Society of Thoracic Surgeons risk calculator,448586003,Society of Thoracic Surgeons risk calculator (assessment scale),305296009,Admission by thoracic surgeon (procedure),0.5140091324200913,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_15,condition,ClinicalCondition,Multi vessel coronary artery disease,371803003,Multi vessel coronary artery disease (disorder),50570003,Aneurysm of coronary vessels (disorder),0.5542487046632123,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_15,action,Procedure,Assessment score,782487009,Assessment score (observable entity),1003700002,Assessment using Sequential Organ Failure Assessment score (procedure),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_16,condition,Procedure,Percutaneous coronary revascularization,415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),713617008,Percutaneous transluminal revascularization of chronic total occlusion of coronary artery using fluoroscopic guidance with contrast (procedure),1.0,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
t0_row_16,condition,ClinicalCondition,Lesion,52988006,Lesion (morphologic abnormality),300513000,Lesion of penis (disorder),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_16,condition,ClinicalCondition,Stenosis of left coronary artery main stem,876857001,Stenosis of left coronary artery main stem (disorder),1255569006,Stenosis of ostium of left main coronary artery (disorder),0.9188136726080345,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_17,condition,Procedure,Procedure,71388002,Procedure (procedure),442123009,Sano procedure (procedure),0.2708074534161491,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_17,condition,ClinicalCondition,Multi vessel coronary artery disease,371803003,Multi vessel coronary artery disease (disorder),50570003,Aneurysm of coronary vessels (disorder),0.5542487046632123,,obvious_tune,low_semantic_overlap,tune_candidate_generation_or_constraints
