row_id,side,role,term,gold_snomed_id,gold_concept_term,pred_snomed_id,pred_concept_term,pred_score,taxonomy_hops,triage_bucket,triage_reason,suggested_action
t0_row_01,condition,Procedure,Coronary artery bypass grafting,232717009,Coronary artery bypass grafting (procedure),698378009,Coronary artery bypass graft operation planned (situation),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_01,action,Procedure,Informing patient,310866003,Informing patient (procedure),148292006,Informing patient (procedure),1.0,,annotation_review,same_normalized_concept_text_different_id,review_gold_annotation_or_accept_equivalent
t0_row_01,condition,ClinicalCondition,Myocardial ischemia,414795007,Myocardial ischemia (disorder),32598000,Acute ischemic heart disease (disorder),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t0_row_02,action,Medication,Clopidogrel,386952008,Clopidogrel (substance),734972007,Clopidogrel besilate (substance),1.0,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_03,action,Medication,Prasugrel,443129001,Prasugrel (substance),1149423007,Prasugrel besilate (substance),1.0,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_01,action,Medication,Clopidogrel,386952008,Clopidogrel (substance),734972007,Clopidogrel besilate (substance),1.0,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t0_row_03,condition,ClinicalCondition,Myocardial ischemia,414795007,Myocardial ischemia (disorder),32598000,Acute ischemic heart disease (disorder),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t1_row_01,condition,ClinicalCondition,Myocardial ischemia,414795007,Myocardial ischemia (disorder),32598000,Acute ischemic heart disease (disorder),1.0,,obvious_tune,high_confidence_semantic_mismatch,add_hard_negative_and_penalty_for_confuser
t1_row_02,action,Medication,Prasugrel,443129001,Prasugrel (substance),1149423007,Prasugrel besilate (substance),1.0,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t1_row_04,action,Medication,Clopidogrel,386952008,Clopidogrel (substance),734972007,Clopidogrel besilate (substance),1.0,,tricky_near_miss,high_lexical_overlap,tune_disambiguation_and_role_specific_penalties
t1_row_06,condition,Medication,Indication of,230165009,Indication of (contextual qualifier) (qualifier value),39816005,Indication of (contextual qualifier) (qualifier value),1.0,,annotation_review,same_normalized_concept_text_different_id,review_gold_annotation_or_accept_equivalent
t1_row_07,condition,Procedure,Coronary artery bypass graft,232717009,Coronary artery bypass grafting (procedure),149173009,Coronary artery bypass grafting (procedure),1.0,,annotation_review,same_normalized_concept_text_different_id,review_gold_annotation_or_accept_equivalent
