row_id,side,role,term,gold_snomed_id,gold_concept_term,pred_snomed_id,pred_concept_term,hit,gt_rank,gold_absence_stage,gold_in_initial_results,gold_in_allowed_domain,gold_in_truncated_set,gold_in_final_ranked,gold_filter_reasons,num_ranked_to_gt,rank_chain_to_gt,top10_chain
t0_row_01,condition,Procedure,Percutaneous coronary revascularization,415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),415070008,Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure),1,1,rescue_override,,,,,,1,1:415070008:Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure):1.0,1:415070008:Percutaneous transluminal coronary intervention using imaging guidance with contrast (procedure):1.0
t0_row_01,condition,Procedure,Coronary artery bypass grafting,232717009,Coronary artery bypass grafting (procedure),698378009,Coronary artery bypass graft operation planned (situation),0,11,,,,,,,11,1:698378009:Coronary artery bypass graft operation planned (situation):1.0 | 2:232719007:Coronary artery bypass graft x 1 (procedure):1.0 | 3:232720001:Coronary artery bypass grafts x 2 (procedure):1.0 | 4:232721002:Coronary artery bypass grafts x 3 (procedure):1.0 | 5:232722009:Coronary artery bypass grafts x 4 (procedure):1.0 | 6:232723004:Coronary artery bypass grafts x 5 (procedure):1.0 | 7:232724005:Coronary artery bypass grafts greater than 5 (procedure):1.0 | 8:307765003:[V]Presence of coronary artery bypass graft (situation):1.0 | 9:149174003:Coronary artery bypass grafting (procedure):1.0 | 10:149173009:Coronary artery bypass grafting (procedure):1.0 | 11:232717009:Coronary artery bypass grafting (procedure):1.0,1:698378009:Coronary artery bypass graft operation planned (situation):1.0 | 2:232719007:Coronary artery bypass graft x 1 (procedure):1.0 | 3:232720001:Coronary artery bypass grafts x 2 (procedure):1.0 | 4:232721002:Coronary artery bypass grafts x 3 (procedure):1.0 | 5:232722009:Coronary artery bypass grafts x 4 (procedure):1.0 | 6:232723004:Coronary artery bypass grafts x 5 (procedure):1.0 | 7:232724005:Coronary artery bypass grafts greater than 5 (procedure):1.0 | 8:307765003:[V]Presence of coronary artery bypass graft (situation):1.0 | 9:149174003:Coronary artery bypass grafting (procedure):1.0 | 10:149173009:Coronary artery bypass grafting (procedure):1.0
t0_row_01,action,Procedure,Informing patient,310866003,Informing patient (procedure),148292006,Informing patient (procedure),0,3,,,,,,,3,1:148292006:Informing patient (procedure):1.0 | 2:171068006:Informing patient (procedure):1.0 | 3:310866003:Informing patient (procedure):1.0,1:148292006:Informing patient (procedure):1.0 | 2:171068006:Informing patient (procedure):1.0 | 3:310866003:Informing patient (procedure):1.0 | 4:171070002:Informing patient of prognosis (procedure):1.0 | 5:148293001:Informing patient of diagnosis (procedure):1.0 | 6:148294007:Informing patient of prognosis (procedure):1.0 | 7:171069003:Informing patient of diagnosis (procedure):1.0 | 8:310867007:Informing patient of diagnosis (procedure):1.0 | 9:310868002:Informing patient of prognosis (procedure):1.0 | 10:396071005:Patient education regarding Patient Bill of Rights (procedure):1.0
t0_row_01,action,Procedure,Using decision making strategies,415806002,Using decision making strategies (finding),415806002,Using decision making strategies (finding),1,1,rescue_override,,,,,,1,1:415806002:Using decision making strategies (finding):1.0,1:415806002:Using decision making strategies (finding):1.0
t0_row_02,condition,ClinicalCondition,Chronic ischemic heart disease,413838009,Chronic ischemic heart disease (disorder),413838009,Chronic ischemic heart disease (disorder),1,2,,,,,,,2,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0 | 3:266290000:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 4:155315001:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 5:155318004:Chronic ischaemic heart disease NOS (disorder):1.0 | 6:266291001:Chronic ischemic heart disease NOS (disorder):1.0 | 7:194840000:Other chronic ischemic heart disease (disorder):1.0 | 8:194854008:Other chronic ischemic heart disease NOS (disorder):1.0 | 9:195544005:[X]Other forms of chronic ischemic heart disease (disorder):1.0 | 10:194851000:Other specified chronic ischemic heart disease (disorder):1.0
t0_row_02,condition,ClinicalParameter,Left ventricular ejection fraction,250908004,Left ventricular ejection fraction (observable entity),250908004,Left ventricular ejection fraction (observable entity),1,1,,,,,,,1,1:250908004:Left ventricular ejection fraction (observable entity):1.0,1:250908004:Left ventricular ejection fraction (observable entity):1.0 | 2:389385008:Left ventricular ejection fraction (observable entity):1.0 | 3:390116000:Left ventricular ejection fraction (finding):1.0 | 4:863932003:Left ventricular ejection fraction decreased (finding):1.0 | 5:5041000175101:Estimated lower limit of left ventricular ejection fraction (observable entity):1.0 | 6:5051000175104:Estimated upper limit of left ventricular ejection fraction (observable entity):1.0 | 7:46258004:Determination of ventricular ejection fraction with probe technique (procedure):0.8405763398575983 | 8:27649004:Left ventricular ST changes (finding):0.5043573748026335 | 9:43101003:Structure of left ventricular fold of larynx (body structure):0.4943573748026336 | 10:25488008:Left ventricular hypertrophy by electrocardiogram (finding):0.4943573748026336
t0_row_02,condition,ClinicalCondition,Triple vessel disease of the heart,233817007,Triple vessel disease of the heart (disorder),233817007,Triple vessel disease of the heart (disorder),1,1,,,,,,,1,1:233817007:Triple vessel disease of the heart (disorder):1.0,1:233817007:Triple vessel disease of the heart (disorder):1.0 | 2:194841001:Coronary (atherosclerosis or artery disease) or triple vessel disease of the heart (disorder):1.0 | 3:27755001:Operation on vessels of heart (procedure):0.598587570621469 | 4:45414006:Glucocorticoid deficiency with achalasia (disorder):0.511412429378531 | 5:169793002:Triple test wanted (finding):0.511412429378531 | 6:76070002:Triple (qualifier value):0.501412429378531 | 7:35111009:Trisomy X syndrome (disorder):0.481412429378531 | 8:169789008:Triple test offered (finding):0.481412429378531 | 9:169791000:Triple test not offered (finding):0.481412429378531 | 10:21829004:Blood vessel finding (finding):0.481412429378531
t0_row_02,action,Procedure,Myocardial revascularization,275227003,Myocardial revascularization (procedure),275227003,Myocardial revascularization (procedure),1,1,,,,,,,1,1:275227003:Myocardial revascularization (procedure):1.0,1:275227003:Myocardial revascularization (procedure):1.0 | 2:1371148009:Myocardial infarction following percutaneous coronary intervention (disorder):0.9674613663505864 | 3:1371149001:Subsequent myocardial infarction following percutaneous coronary intervention (disorder):0.9543956224273991 | 4:70627009:Myocardial resection (procedure):0.9486013042282414 | 5:703360004:Subsequent non-ST segment elevation myocardial infarction (disorder):0.943561288530762 | 6:816976901000119101:History of myocardial infarction following coronary artery bypass graft (situation):0.9325071248363805 | 7:64432007:Radioisotope myocardial imaging procedure (procedure):0.9318918918918919 | 8:458598511000119103:History of subsequent non-ST segment elevation myocardial infarction (situation):0.9315367016147924 | 9:791251731000119101:History of myocardial infarction following percutaneous coronary intervention (situation):0.9245050714563678 | 10:703211006:Subsequent ST segment elevation myocardial infarction (disorder):0.923457874472077
t0_row_02,action,Procedure,Medical therapy,243121000,Medical therapy (procedure),243121000,Medical therapy (procedure),1,1,,,,,,,1,1:243121000:Medical therapy (procedure):1.0,"1:243121000:Medical therapy (procedure):1.0 | 2:37670002:Teacher in medical therapy/advanced nursing/related arts (occupation):1.0 | 3:403755007:Adverse cutaneous reaction to alternative medical therapy (navigational concept):1.0 | 4:425914008:Adjustment reaction to medical therapy (disorder):1.0 | 5:26342005:Medical evaluation for speech, language and/or hearing problems (regime/therapy):1.0 | 6:28868002:Interactive group medical psychotherapy (regime/therapy):1.0 | 7:8411005:Interactive individual medical psychotherapy (regime/therapy):1.0 | 8:27853000:Medical procedure on anus (procedure):0.5900000000000001 | 9:30198001:Medical procedure on lung (procedure):0.5900000000000001 | 10:38318006:Medical procedure on heart (procedure):0.5900000000000001"
t0_row_03,condition,ClinicalCondition,Chronic ischemic heart disease,413838009,Chronic ischemic heart disease (disorder),413838009,Chronic ischemic heart disease (disorder),1,2,,,,,,,2,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0,1:84537008:Chronic ischemic heart disease (disorder):1.0 | 2:413838009:Chronic ischemic heart disease (disorder):1.0 | 3:266290000:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 4:155315001:Heart disease: [arteriosclerotic] or [chronic ischaemic NOS] (disorder):1.0 | 5:155318004:Chronic ischaemic heart disease NOS (disorder):1.0 | 6:266291001:Chronic ischemic heart disease NOS (disorder):1.0 | 7:194840000:Other chronic ischemic heart disease (disorder):1.0 | 8:194854008:Other chronic ischemic heart disease NOS (disorder):1.0 | 9:195544005:[X]Other forms of chronic ischemic heart disease (disorder):1.0 | 10:194851000:Other specified chronic ischemic heart disease (disorder):1.0
